object_name,current_location,source_script,currently_used,placement_v16,strengthens_acceptance_case,notes
fig_temporal_holdout_roc.pdf,output/temporal_holdout/,17_temporal_holdout_roc.R,YES,Main §6.4,HIGH,"PROMOTED in Subprompt 6: visual ROC across 6 test years; gives discrimination evidence its own image; addresses OBS-7"
tab_temporal_holdout_year.tex,work/v13/output/tables/,Subprompt 6 (from 17_temporal_holdout_roc.R),YES,App C,HIGH,"NEW in Subprompt 6: year-by-year breakdown of holdout AUC supports the 0.864 claim with rolling-origin transparency"
tab_leakage_audit.tex,work/v13/output/tables/,40_leakage_audit_d3.R,YES,Main §6.4 (PROMOTED),HIGH,"PROMOTED in Subprompt 6 from App C to §6: turns largest tautology vulnerability into honest disclosure inside the discrimination centerpiece"
tab_cade_permutation.tex,work/v13/output/tables/,25_sham_fl_permutation.R,YES,Main §6.4 (PROMOTED),HIGH,"PROMOTED in Subprompt 6 from App C to §6: permutation null is the conservative-benchmark anchor; belongs adjacent to the AUC numbers it disciplines"
tab_theory_bridge.tex,work/v13/output/tables/,60_theory_validation_bridge.R,YES,Main §6.2,HIGH,"Subprompt 4 placement; within-stratum theory-validation bridge"
tab_imhof_full.tex,work/v13/output/tables/,31_imhof_full_pipeline.R,YES,Main §10,HIGH,"Architectural test centerpiece; same-sample audit"
fig_data_coarsening.pdf,output/figures/,58_fig_data_coarsening.R,YES,Main §10,MEDIUM-HIGH,"Architectural diagram; visualizes data layer/screening sequencing"
tab_imhof_incremental.tex,work/v13/output/tables/,49_imhof_incremental_value.R,YES,App E,MEDIUM-HIGH,"Same-sample incremental AUC +0.035 DeLong p=0.014; could be promoted further if architectural claim becomes contested"
tab_horse_race_v14.tex,work/v13/output/tables/,34_horse_race_fl_continuous.R,YES,Main §8,HIGH,"Continuous-dominates-binary DeLong p<10⁻³; supports framework's identification of primitive"
tab_sign_reversal_decomp.tex,work/v13/output/tables/,59_sign_reversal_decomp.R,YES,Main §7.2,HIGH,"Subprompt 3 placement; converts sign reversal from interpretive cornerstone into honest empirical decomposition"
tab_item_level_scope_match.tex,work/v13/output/tables/,51_item_level_scope_match.R,YES,Main §7.2,MEDIUM,"Source data for sign-reversal decomp; could in principle be demoted to App but compactly reports the four overlap specifications"
fig_two_objects_continuum.pdf,output/figures/,57_fig_two_objects_continuum.R,YES,Main §7.2,MEDIUM,"Visual companion to overlap continuum; supports decomp narrative"
tab_prices.tex,output/tables/,02_analysis.R,YES,Main §7.1,MEDIUM,"Headline conditional-association table; supporting pillar in v16 hierarchy"
tab_oster_delta.tex,work/v13/output/tables/,05_robustness.R,YES,App C,MEDIUM,"Sensitivity bound supporting pricing β; defensible disclosure"
tab_iv_placebo.tex,work/v13/output/tables/,02_analysis.R,YES,App C (DEMOTED),LOW-MEDIUM,"DEMOTED in Subprompt 6 from §9 main to App C: identification audit; supports robustness but not load-bearing for v16 hierarchy"
tab_threshold_robustness.tex,work/v13/output/tables/,05_robustness.R,YES,App D,LOW,"Standard IQR-multiplier robustness; expected disclosure"
tab_clustering_robustness.tex,work/v13/output/tables/,05_robustness.R,YES,App D,LOW,"Standard SE clustering robustness"
tab_falsification_modal.tex,work/v13/output/tables/,46_falsification_pregao_only.R,YES,App B,MEDIUM,"Modal contrast; supports §1 institutional asymmetry; appendix is correct placement"
tab_modality_by_year.tex,work/v13/output/tables/,11_modal_id.R,YES,App B,LOW-MEDIUM,"Modality composition over time"
tab_conditional_descstats.tex,work/v15-editor/tables/,manual,YES,App B,MEDIUM,"Conditional descriptive statistics; useful diagnostic"
tab_mccrary.tex,work/v15-editor/tables/,manual,YES,App B,MEDIUM,"McCrary density test for failed RDD; honest disclosure of design failure"
tab_excl_cade.tex,work/v13/output/tables/,02_analysis.R,YES,App B,LOW-MEDIUM,"CADE-exclusion robustness for the broad-sample β"
tab_regime_oversight.tex,work/v13/output/tables/,07_heterogeneity.R,YES,App B,LOW-MEDIUM,"Detection-regime heterogeneity; demoted to App per Spine memo (no longer headline)"
tab_operational_metrics.tex,work/v13/output/tables/,42_operational_metrics.R,YES,App E,LOW,"Operational deployment metrics; appendix-only is correct"
tab_external_validity_scope.tex,work/v13/output/tables/,52_external_validity_scope.R,YES,App E,MEDIUM,"Cross-sector portability scope"
tab_did_revised.tex,work/v13/output/tables/,06_did_temporal.R,YES,App G,LOW,"Failed DiD disclosure; transparency"
tab_stacked_did.tex,work/v13/output/tables/,14_did_decreto_2018.R,YES,App G,LOW,"Failed Decreto-2018 stacked DiD"
tab_adversarial_adaptation.tex,work/v13/output/tables/,55_adversarial_adaptation.R,YES,App F,MEDIUM,"Adversarial honesty"
tab_mde_summary.tex,work/v13/output/tables/,Subprompt 6 (from 23_mde_calculations.R),YES,App C,HIGH,"NEW in Subprompt 6: power/MDE for failed RDD/DiD designs; pre-empts R2 critique that null is structurally underpowered"
tab_auc_decomposition.tex,work/v13/output/tables/,Subprompt 6 (from 20_auc_decomposition.R),YES,App E,HIGH,"NEW in Subprompt 6: shows tenders_count alone delivers AUC near full-feature ceiling; supports framework's identification of primitive"
fig_01_losses_distribution.pdf,images/,manual,YES,App B,LOW,"Distribution of loss-bid counts; descriptive figure"
fig_02_iqr_identification.pdf,images/,manual,YES,App B,MEDIUM,"IQR threshold identification; visualizes definition rule"
fig_14_oversight_heterogeneity.pdf,images/,manual,YES,App B,LOW-MEDIUM,"Detection-regime heterogeneity figure; appendix-only is correct given decision rule"
tab_predictions_findings.tex,work/v13/output/tables/,manual,no,UNUSED,LOW,"Theory-empirics bridge mapping; could be deferred memo material"
tab_homogeneous_cv.tex,work/v13/output/tables/,22_continuous_vs_binary.R,no,CUT,NEGATIVE,"Overlap with horse-race v14; redundant"
tab_homogeneous_subsample.tex,work/v13/output/tables/,22_continuous_vs_binary.R,no,CUT,NEGATIVE,"Same family"
tab_unified_mechanism.tex,work/v13/output/tables/,35_unified_mechanism.R,no,CUT,NEGATIVE,"Older mechanism summary; superseded by horse-race + theory-bridge"
tab_mechanisms.tex,work/v13/output/tables/,35_unified_mechanism.R,no,CUT,NEGATIVE,"Superseded"
tab_robustness_summary_inline.tex,work/v13/output/tables/,legacy,no,CUT,NEGATIVE,"Superseded by individual robustness tables"
tab_welfare_bounds.tex,work/v13/output/tables/,45_legacy_m1m3_perm_welfare.R,no,CUT,NEGATIVE,"Welfare angle incompatible with JLEO frame"
fig_09_welfare_markup.pdf,output/figures/,45_legacy_m1m3_perm_welfare.R,no,CUT,NEGATIVE,"Welfare angle incompatible with JLEO frame"
fig_welfare_heatmap.pdf,output/figures/,45_legacy_m1m3_perm_welfare.R,no,CUT,NEGATIVE,"Welfare angle incompatible with JLEO frame"
tab_bajari_ye.tex,work/v13/output/tables/,02_analysis.R,no,CUT,NEGATIVE,"Old framework; conflicts with current narrative"
tab_bajari_ye_firststage.tex,work/v13/output/tables/,legacy,no,CUT,NEGATIVE,"Same family"
tab_bajari_ye_placebo.tex,work/v13/output/tables/,legacy,no,CUT,NEGATIVE,"Same family"
tab_bajari_ye_tender_fe.tex,work/v13/output/tables/,legacy,no,CUT,NEGATIVE,"Same family"
tab_iv_main.tex,work/v13/output/tables/,02_analysis.R,no,CUT,NEGATIVE,"Old IV framework"
tab_iv_main_panelc.tex,work/v13/output/tables/,02_analysis.R,no,CUT,NEGATIVE,"Old IV framework"
tab_iv_first_stage.tex,work/v13/output/tables/,02_analysis.R,no,CUT,NEGATIVE,"Old IV framework"
tab_iv_balance.tex,work/v13/output/tables/,02_analysis.R,no,CUT,NEGATIVE,"Old IV framework"
tab_iv_network_split.tex,work/v13/output/tables/,19_network_heterogeneity_2d.R,no,CUT,NEGATIVE,"Network angle not in JLEO framing"
tab_network_interactions.tex,work/v13/output/tables/,19_network_heterogeneity_2d.R,no,CUT,NEGATIVE,"Same family"
tab_network_split.tex,work/v13/output/tables/,19_network_heterogeneity_2d.R,no,CUT,NEGATIVE,"Same family"
tab_dyadic_permutation.tex,work/v13/output/tables/,legacy,no,CUT,NEGATIVE,"Superseded by tab_cade_permutation"
tab_cox_survival.tex,work/v13/output/tables/,legacy,no,CUT,NEGATIVE,"Survival angle not used"
tab_v8_legacy_audit.tex,output/v8_legacy_audit/,16_run_v8_legacy.R,no,CUT,NEGATIVE,"Legacy v8 reproducibility audit"
