object_name,object_type,current_status,source_script,current_location,recommended_location,decision_reason,linked_reproducibly
tab_cade_populations,table,kept,scripts/45_cade_populations.R,sec_cade,main,validation populations defining the loser-side scope,yes
tab_cade_permutation,table,kept,scripts/39_gate_d4_cade_winner_heavy.R,sec_cade,main,participation-stratified permutation null behind conservative benchmark,yes
tab_leakage_audit,table,kept (caption rewritten Bloco C),scripts/40_leakage_audit_d3.R,sec_cade,main,decomposition of in-sample AUC into structural and leakage components,yes
tab_imhof_incremental,table,kept,scripts/49_imhof_incremental_value.R,sec_forensic,main,incremental AUC of FL screen over Imhof-Wallimann full pipeline,yes
tab_architecture_gatekeeper_th,table,kept,scripts/41_architecture_gatekeeper.R,sec_forensic,main,sequential gatekeeper architecture under temporal holdout - HEADLINE TABLE,yes
tab_operational_metrics,table,kept (columns inverted Bloco C),scripts/42_operational_metrics.R + scripts/43_precision_at_k_audit.R,sec_robustness,main,precision/recall/lift at top-k holdout-headline format,yes
tab_temporal_holdout_year,table,kept,scripts/40_leakage_audit_d3.R,OA-B,OA,year-by-year temporal-holdout AUCs,yes
tab_prices,table,kept (prose downplayed D1'),scripts/02_analysis.R,sec_results_ols,main (consider OA),broad-sample OLS coefficients on log price across 4 specs,yes
tab_falsification_modal,table,kept,scripts/02_analysis.R,sec_results_ols,main,pregão-convite asymmetry falsification of quorum-filler reading,yes
tab_item_level_scope_match,table,kept,scripts/09_matching.R,sec_results_overlap,main (CANDIDATE for OA in next round),overlap-restricted ATT and PS-trimmed ATT details,yes
tab_sign_reversal_decomp,table,kept,scripts/52_sign_reversal_decomposition.R,sec_results_overlap,main (RECOMMEND OA in next round),cell-dropping pattern across 6 discriminating dimensions - granular,yes
tab_sign_reversal_segment,table,kept,scripts/52_sign_reversal_decomposition.R,sec_results_overlap,main,within-quintile decomposition - central to section narrative,yes
tab_regime_oversight,table,kept,scripts/47_regime_oversight.R,sec_results_oversight,main,heterogeneity by buyer-size quartile,yes
fig_temporal_holdout_roc,figure,kept,scripts/40_leakage_audit_d3.R,sec_cade,main,rolling-origin temporal-holdout ROC curves,yes
fig_two_objects_continuum,figure,kept,scripts/52_sign_reversal_decomposition.R,sec_results_overlap,main,coefficient across 4 anchor specifications,yes
prop:screening_value,proposition,kept (referenced as low-stakes formal scaffolding),OA-A formal model,sec_appendix_v17,OA,formalisation that broad-sample β remains an economic object under coarsened observability,yes
\valArchFootprintReduction,macro,promoted to abstract headline,scripts/41_architecture_gatekeeper.R,values.tex,headline number,83% footprint reduction is the JLEO-flavored quantification,yes
\valArchTPThouSeqK,macro,kept in abstract,scripts/41_architecture_gatekeeper.R,values.tex,headline number,recall preserved by sequential rule,yes
\valAUCFLfirmTemp,macro,demoted from headline to supporting,scripts/40_leakage_audit_d3.R,values.tex,supporting,positioned as the technology that makes the architecture feasible,yes
\valAUCdirectStd,macro,kept,scripts/33_auc_direct_cade.R,values.tex,supporting,design-signature result against direct CADE defendants,yes
